Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
97;KINS;Kingstone Companies, Inc.;15,8;0,19%;4,73;4,00;5,00;A;C;B+;A;A
98;DXPE;DXP Enterprises, Inc.;108,17;2,29%;4,73;3,50;5,00;B-;C+;D+;A;A+
99;PRIM;Primoris Services Corporation;92,83;3,22%;4,72;4,00;4,60;C-;B;B-;A;A+
100;DLTR;Dollar Tree, Inc.;114,41;0,18%;4,72;3,66;3,66;C-;C-;B+;A+;A-
101;NPKI;NPK International Inc.;9,03;-0,11%;4,72;4,00;4,50;C;B;A+;A-;A
102;BPOP;Popular, Inc.;115,33;0,84%;4,71;3,50;4,12;C+;A-;C+;B+;A
103;AEG;Aegon Ltd.;7,27;0,14%;4,71;4,00;4,00;C;C;B-;B;A
104;ALLY;Ally Financial Inc.;38,54;0,42%;4,71;3,75;3,80;A;A+;A-;C+;B
105;EPRT;Essential Properties Realty Trust, Inc.;30,62;0,23%;4,71;3,50;4,44;C;A;A+;C+;A-
106;HG;Hamilton Insurance Group, Ltd.;21,55;1,27%;4,71;4,00;3,83;A+;C;B;B+;B-
107;JCI;Johnson Controls International plc;111,73;1,55%;4,70;3,50;3,86;D;C+;A;A;B+
108;EAT;Brinker International, Inc.;153,5;0,77%;4,70;4,12;3,50;B-;A+;A-;A;A
109;AZZ;AZZ Inc.;109,69;0,39%;4,70;3,50;4,20;C+;B-;B-;A-;A-
110;BILI;Bilibili Inc.;23,365;-2,16%;4,70;4,00;4,51;D+;A+;B-;A-;B+
111;MCY;Mercury General Corporation;69,65;0,48%;4,69;4,00;5,00;B+;A-;C+;A;B
112;OI;O-I Glass, Inc.;14,57;-0,61%;4,69;5,00;3,90;A;B+;B-;B;B+
113;CGAU;Centerra Gold Inc.;7,35;-1,21%;4,68;5,00;3,83;A+;A;B-;C+;B+
114;EME;EMCOR Group, Inc.;635,06;9,72%;4,68;4,00;4,25;D;A-;B+;A-;A
115;LKNCY;Luckin Coffee Inc.;36,25;-1,63%;4,68;4,00;4,60;C-;A-;A-;A;A
116;JRONY;Jerónimo Martins, SGPS, S.A.;51,07;0,10%;4,68;4,00;5,00;B-;B-;C+;A-;A+
117;RMNI;Rimini Street, Inc.;4,68;0,65%;4,68;3,66;4,50;A+;C-;B-;A;B-
118;SIG;Signet Jewelers Limited;84,76;1,00%;4,67;3,66;3,85;B;C;B-;A-;A
119;KRP;Kimbell Royalty Partners, LP Common Units;14,7;0,68%;4,66;4,00;3,83;B+;C-;D;C+;A+
120;RF;Regions Financial Corporation;26,42;0,46%;4,66;3,50;3,70;B-;C-;B;B+;B
121;SKYW;SkyWest, Inc.;112,3;1,02%;4,66;3,80;4,80;B+;A+;B;B;A+
122;NGS;Natural Gas Services Group, Inc.;24,35;0,29%;4,66;4,00;4,75;C;A;D+;A-;A+
123;SAH;Sonic Automotive, Inc.;78,81;4,48%;4,66;4,00;3,55;C+;C;C-;B+;A+
124;PYPL;PayPal Holdings, Inc.;77,98;0,21%;4,65;4,19;3,70;D+;C-;A-;B-;B
125;SSEZY;SSE plc;25,33;-2,58%;4,65;4,00;4,50;B;B+;B-;A-;A+
126;THG;The Hanover Insurance Group, Inc.;166,99;2,31%;4,65;4,00;4,00;A-;A+;B;C+;B
127;ROAD;Construction Partners, Inc.;105,44;2,01%;4,65;4,00;4,20;D+;A;C;A-;A+
128;PL;Planet Labs PBC;6,65;-2,78%;4,65;4,00;4,45;D;B;D;A+;C+
129;ACEL;Accel Entertainment, Inc.;12,74;2,49%;4,64;4,00;5,00;B;B-;C+;B;A+
130;NRG;NRG Energy, Inc.;156,59;-0,87%;4,64;3,75;3,91;D;A;A-;A+;A-
131;AER;AerCap Holdings N.V.;112,18;0,15%;4,64;4,50;4,55;C;C;A;B-;A+
132;HEINY;Heineken N.V.;45,53;-0,87%;4,64;3,50;4,33;C;A-;A;B;A
133;NOAH;Noah Holdings Limited;12,43;-0,16%;4,63;4,00;3,60;A+;A-;B;A;C
134;KALU;Kaiser Aluminum Corporation;82,91;-5,91%;4,63;4,00;4,00;C+;B-;C-;B;A-
